iteration,latency_ms
0,89.7008
1,84.8749
2,85.56
3,85.5543
4,85.5947
5,85.176
6,90.8567
7,85.925
8,86.3043
9,85.7961
10,85.5981
11,87.1891
12,85.6858
13,88.6917
14,85.8433
15,84.9306
16,86.5811
17,84.4034
18,85.0283
19,88.0263
20,86.6674
21,85.8962
22,84.7438
23,85.2174
24,84.917
25,87.3953
26,85.749
27,85.8821
28,87.3114
29,85.6474
30,85.5807
31,86.9093
32,89.5752
33,86.7976
34,86.4981
35,86.8153
36,84.2041
37,84.8676
38,89.3169
39,84.9682
40,85.6435
41,84.907
42,84.8878
43,83.9812
44,85.9239
45,88.2728
46,86.4908
47,83.9823
48,84.0001
49,84.0869
50,84.9545
51,88.5052
52,86.5842
53,84.9611
54,84.006
55,84.9614
56,85.1042
57,86.6327
58,86.912
59,84.0975
60,85.0244
61,84.9574
62,84.87
63,85.6031
64,88.2388
65,85.9499
66,85.1703
67,85.2098
68,84.1997
69,85.6344
70,85.5275
71,88.8587
72,85.2025
73,84.9701
74,85.027
75,87.5414
76,85.9503
77,90.2714
78,84.1107
79,84.3396
80,85.7502
81,85.0339
82,85.002
83,86.3427
84,87.5397
85,84.248
86,85.6966
87,85.0574
88,84.9313
89,84.076
90,88.8908
91,87.1594
92,87.5486
93,85.0849
94,84.9707
95,84.0585
96,85.6471
97,87.2847
98,85.6852
99,85.0589
