iteration,latency_ms
0,320.772
1,319.1245
2,319.3516
3,319.1211
4,315.672
5,322.3698
6,312.8377
7,319.7879
8,316.917
9,318.1961
10,314.7439
11,320.6315
12,318.9269
13,317.1534
14,322.959
15,316.1502
16,319.324
17,314.5791
18,320.2888
19,319.133
20,321.6411
21,318.5122
22,319.5871
23,318.6689
24,314.8852
25,321.7548
26,318.6215
27,320.6484
28,315.6039
29,319.7101
30,316.2727
31,318.7513
32,319.6274
33,317.1409
34,321.5944
35,316.1556
36,322.6418
37,318.7113
38,322.6945
39,316.3188
40,320.6766
41,318.4624
42,315.788
43,318.558
44,319.097
45,321.0028
46,314.2679
47,326.7054
48,315.273
49,320.6433
50,319.9409
51,321.3213
52,315.3098
53,318.5657
54,318.7411
55,314.7501
56,318.5449
57,315.9503
58,322.5735
59,317.6337
60,317.6279
61,316.1321
62,318.2241
63,316.4374
64,321.1606
65,318.4721
66,318.8003
67,321.4926
68,318.7583
69,323.248
70,318.9145
71,321.1784
72,316.3163
73,316.5602
74,320.0565
75,319.1046
76,320.7754
77,319.3626
78,320.4816
79,316.1282
80,317.8054
81,318.9741
82,321.4659
83,316.2674
84,318.5028
85,316.7693
86,315.0378
87,316.527
88,318.4462
89,320.3062
90,318.7979
91,321.2332
92,316.5389
93,317.9151
94,315.9793
95,315.1497
96,320.1194
97,316.2804
98,318.7917
99,319.8309
