iteration,latency_ms
0,17.209
1,19.1573
2,16.4148
3,16.386
4,16.4738
5,16.3952
6,16.4434
7,17.4491
8,16.3939
9,17.1156
10,16.5711
11,17.1636
12,16.4705
13,16.4662
14,16.3888
15,17.4638
16,16.5052
17,16.3971
18,17.3574
19,16.4369
20,16.4172
21,16.3784
22,16.3708
23,16.4544
24,16.4677
25,16.4845
26,16.5038
27,16.4132
28,16.4403
29,16.8589
30,17.4815
31,19.3001
32,16.395
33,17.343
34,16.4523
35,16.4809
36,16.4988
37,17.3977
38,17.0843
39,16.4436
40,16.836
41,16.6446
42,16.4509
43,16.4263
44,16.4284
45,17.49
46,16.4863
47,16.4304
48,17.4525
49,16.4007
50,16.457
51,16.3592
52,16.4476
53,16.4246
54,17.348
55,16.5048
56,17.4109
57,16.4541
58,16.4973
59,16.4892
60,17.2718
61,19.5229
62,16.8334
63,16.4092
64,17.3054
65,17.3923
66,17.025
67,16.4556
68,16.3968
69,17.4285
70,16.4237
71,17.2937
72,17.081
73,16.5252
74,16.3735
75,16.3538
76,17.3247
77,17.3691
78,16.3605
79,16.3909
80,17.3762
81,16.3688
82,16.499
83,16.5198
84,17.3204
85,16.4465
86,16.4478
87,17.2596
88,16.4226
89,16.4273
90,18.4164
91,18.0596
92,16.3539
93,17.2292
94,17.9561
95,17.3288
96,16.4077
97,16.4086
98,17.3643
99,17.3661
