iteration,latency_ms
0,255.6907
1,254.2792
2,255.5214
3,252.6351
4,253.2716
5,253.3208
6,255.8144
7,254.6737
8,256.1033
9,251.2773
10,256.2991
11,252.6832
12,256.8775
13,253.8351
14,252.3567
15,255.7022
16,251.842
17,255.2925
18,252.7529
19,255.3881
20,254.0246
21,256.3465
22,251.4803
23,257.9333
24,249.3813
25,258.1995
26,250.456
27,257.3913
28,250.4181
29,257.4787
30,250.6918
31,256.8126
32,252.4488
33,255.3227
34,257.363
35,252.9214
36,259.0758
37,251.4216
38,257.1229
39,254.0708
40,255.5511
41,252.3805
42,260.0583
43,249.7804
44,259.1067
45,251.3115
46,257.1799
47,252.3374
48,258.6158
49,252.5727
50,253.5584
51,258.0934
52,254.333
53,257.012
54,254.6476
55,254.9124
56,256.024
57,256.6239
58,252.2619
59,257.3456
60,254.5449
61,257.547
62,254.4881
63,256.7034
64,250.398
65,255.6392
66,254.6443
67,253.9032
68,257.4753
69,254.4959
70,255.9107
71,251.4734
72,255.7967
73,252.8358
74,257.7846
75,255.3993
76,256.2027
77,249.686
78,256.1651
79,255.5835
80,254.0092
81,255.0351
82,252.9075
83,256.8385
84,250.5234
85,256.5588
86,254.4654
87,252.625
88,249.509
89,258.6336
90,253.6792
91,255.7097
92,253.6763
93,256.8689
94,255.6913
95,258.4778
96,253.568
97,254.9602
98,254.5992
99,254.3491
