gpu_type,workload,batch_size,mean_throughput,cost_per_hour,gpu_memory_gb,throughput_per_dollar,cost_per_1k_samples,cost_efficiency_rank
NVIDIA_GB10,bert_base,1,51557.18666666667,0.0,0,0.0,0.0,1
NVIDIA_GB10,bert_base,8,47637.130000000005,0.0,0,0.0,0.0,1
NVIDIA_GB10,bert_base,32,46463.59666666667,0.0,0,0.0,0.0,1
NVIDIA_GB10,bert_base,64,46540.17333333333,0.0,0,0.0,0.0,1
NVIDIA_GB10,bert_base,1,6644.433333333333,0.0,0,0.0,0.0,1
NVIDIA_GB10,bert_base,8,12854.663333333336,0.0,0,0.0,0.0,1
NVIDIA_GB10,bert_base,32,14305.726666666667,0.0,0,0.0,0.0,1
NVIDIA_GB10,bert_base,64,14458.826666666668,0.0,0,0.0,0.0,1
NVIDIA_GB10,resnet50,1,159.85333333333332,0.0,0,0.0,0.0,1
NVIDIA_GB10,resnet50,8,474.3566666666666,0.0,0,0.0,0.0,1
NVIDIA_GB10,resnet50,32,496.3233333333333,0.0,0,0.0,0.0,1
NVIDIA_GB10,resnet50,64,473.7966666666666,0.0,0,0.0,0.0,1
NVIDIA_GB10,resnet50,1,40.42,0.0,0,0.0,0.0,1
NVIDIA_GB10,resnet50,8,96.62,0.0,0,0.0,0.0,1
NVIDIA_GB10,resnet50,32,125.52666666666669,0.0,0,0.0,0.0,1
NVIDIA_GB10,resnet50,64,129.65666666666667,0.0,0,0.0,0.0,1
