iteration,latency_ms
0,4.8563
1,5.4743
2,5.4252
3,6.4495
4,4.8628
5,4.6649
6,4.6056
7,4.5794
8,4.5425
9,4.5509
10,4.537
11,4.5386
12,4.491
13,4.8489
14,4.8628
15,4.6278
16,4.6987
17,4.7225
18,4.5819
19,4.5506
20,4.8945
21,4.8661
22,4.5034
23,4.7468
24,4.7629
25,4.8097
26,4.8864
27,4.8518
28,4.8632
29,4.9413
30,4.8119
31,4.731
32,4.753
33,4.7485
34,4.7492
35,4.7726
36,4.7503
37,4.7806
38,4.7253
39,4.6183
40,4.7642
41,4.6737
42,4.7182
43,4.7235
44,4.758
45,4.7496
46,4.8016
47,4.7824
48,4.8093
49,4.8155
50,4.761
51,4.7865
52,4.5925
53,4.7726
54,4.7743
55,4.7778
56,4.7826
57,4.6905
58,4.7187
59,4.7848
60,4.6726
61,5.4345
62,4.7602
63,4.4916
64,4.7659
65,4.7683
66,4.7863
67,4.7607
68,5.6047
69,4.8579
70,4.8927
71,5.8932
72,4.6128
73,4.7669
74,4.7618
75,4.8035
76,4.8346
77,4.8231
78,4.831
79,4.8414
80,4.7342
81,5.7397
82,4.7655
83,4.5768
84,4.6468
85,4.698
86,4.8609
87,4.6493
88,4.8317
89,4.7498
90,5.6073
91,5.5034
92,5.8228
93,6.5376
94,5.6412
95,4.7977
96,4.6689
97,4.6239
98,5.4903
99,4.5781
