iteration,latency_ms
0,0.3637
1,0.162
2,0.1523
3,0.1621
4,0.154
5,0.1564
6,0.1555
7,0.1547
8,0.1533
9,0.156
10,0.1551
11,0.1546
12,0.1545
13,0.1541
14,0.1672
15,0.1546
16,0.1527
17,0.1551
18,0.1562
19,0.1538
20,0.1577
21,0.1562
22,0.1535
23,0.1546
24,0.1676
25,0.1827
26,0.1558
27,0.1534
28,0.1544
29,0.1543
30,0.1658
31,0.1532
32,0.1528
33,0.1548
34,0.1554
35,0.1542
36,0.1581
37,0.1503
38,0.1364
39,0.1555
40,0.1479
41,0.1594
42,0.1509
43,0.1544
44,0.1523
45,0.1525
46,0.141
47,0.2908
48,0.0861
49,0.0873
50,0.0449
51,0.0337
52,0.0337
53,0.0335
54,0.0952
55,0.0365
56,0.0344
57,0.0942
58,0.0359
59,0.0396
60,0.1968
61,0.0378
62,0.034
63,0.0347
64,0.1675
65,0.0364
66,0.0343
67,0.0346
68,0.1628
69,0.0362
70,0.0353
71,0.0349
72,0.0348
73,0.164
74,0.0361
75,0.0342
76,0.0332
77,0.034
78,0.0353
79,0.0326
80,0.036
81,0.0333
82,0.0414
83,0.0345
84,0.0328
85,0.0325
86,0.0326
87,0.0335
88,0.0342
89,0.053
90,0.0346
91,0.0585
92,0.0347
93,0.034
94,0.031
95,0.0514
96,0.0372
97,0.0325
98,0.0342
99,0.0498
