iteration,latency_ms
0,1.2874
1,1.0293
2,1.3041
3,1.0627
4,0.9986
5,1.0092
6,0.8024
7,1.0413
8,0.8493
9,0.7923
10,1.0371
11,1.0474
12,1.055
13,0.9233
14,1.0499
15,1.0474
16,1.075
17,1.0353
18,1.0028
19,1.0011
20,0.9908
21,1.0497
22,1.1225
23,1.0285
24,1.0456
25,0.9092
26,1.0247
27,1.0329
28,1.002
29,0.9875
30,0.8748
31,0.6816
32,0.9533
33,1.0081
34,0.9896
35,0.9951
36,0.9823
37,0.9918
38,0.8792
39,0.9845
40,0.7866
41,0.6992
42,0.9518
43,0.9646
44,0.9632
45,1.524
46,1.2804
47,1.7381
48,1.2462
49,0.8927
50,0.8578
51,0.8465
52,0.7739
53,0.9307
54,0.7771
55,0.8481
56,1.0468
57,0.8748
58,1.0408
59,0.8693
60,0.9058
61,0.8357
62,0.9701
63,0.9898
64,1.0403
65,1.283
66,0.9061
67,0.9363
68,0.6805
69,0.5908
70,0.8412
71,0.8991
72,1.7313
73,0.9284
74,1.259
75,1.742
76,1.2661
77,0.9997
78,0.9518
79,0.9053
80,0.9012
81,0.8883
82,0.677
83,0.5922
84,1.7969
85,1.849
86,1.4244
87,1.0524
88,1.1165
89,0.8981
90,1.1364
91,0.8894
92,1.113
93,1.688
94,1.4584
95,1.2919
96,0.921
97,0.9112
98,0.9054
99,0.6644
