iteration,latency_ms
0,82.8067
1,79.941
2,78.6766
3,70.9316
4,66.5537
5,82.3974
6,86.5977
7,78.1404
8,82.8921
9,80.4488
10,79.6518
11,75.6393
12,79.56
13,77.0442
14,79.5692
15,84.2887
16,82.1664
17,81.5439
18,85.4812
19,83.5092
20,77.0442
21,77.0491
22,79.4035
23,80.3218
24,81.5004
25,78.2054
26,75.8274
27,80.1907
28,80.9787
29,79.2713
30,71.9102
31,80.2552
32,75.843
33,76.9064
34,78.9225
35,74.9056
36,79.6682
37,81.4469
38,74.9686
39,75.0358
40,76.2334
41,81.4707
42,75.5854
43,75.752
44,72.6271
45,74.1092
46,74.5936
47,75.4506
48,76.928
49,80.331
50,71.8462
51,79.932
52,77.8226
53,79.95
54,72.5862
55,79.0715
56,81.0155
57,78.5102
58,75.9637
59,78.9554
60,80.4256
61,78.7063
62,82.7
63,84.0357
64,81.5019
65,81.9146
66,83.5799
67,78.8821
68,83.0354
69,77.1432
70,82.1628
71,78.1491
72,75.0401
73,82.9828
74,80.1393
75,82.0848
76,81.3758
77,76.0353
78,80.4467
79,84.5056
80,80.9901
81,84.9038
82,81.7829
83,83.5956
84,81.2291
85,76.932
86,75.9614
87,71.3104
88,69.6658
89,71.5182
90,74.6785
91,76.5532
92,77.5238
93,74.1771
94,79.0671
95,75.1717
96,75.4605
97,80.9155
98,75.7584
99,77.903
